dataset,sequences,sites,model,type,logl,AICc,GammaShape
1QAZ_A,43,499,WAG-G,enzyme,-22607.5498102,45383.7677844,1.14937195083
1G8F_A,301,1065,JTT-G,enzyme,-141230.69342,283663.640843,1.15662637299
1AJ8_A,301,544,WAG-No,enzyme,-106115.348693,213433.10331,NA
1FF3_A,301,306,WAG-No,enzyme,-60350.5670324,121906.989287,NA
1MBB_A,301,469,JTT-G,enzyme,-102999.903197,207204.937006,0.761796957145
1SMN_A,183,474,LG-No,enzyme,-65712.1586435,132153.376677,NA
1STC_E,301,1078,WAG-No,enzyme,-91048.4419849,183297.103324,NA
1LJL_A,301,182,JTT-No,enzyme,-38421.6642909,78054.5949803,NA
1YVE_I,145,1452,JTT-G,enzyme,-63300.4565164,127177.704772,0.636266441502
1REQ_A,301,992,mtVer-No,enzyme,-179460.02869,360120.469526,NA
1CTT_A,301,662,WAG-No,enzyme,-100959.753172,203121.12455,NA
1PMA_B,301,311,gcpREV-G,enzyme,-67680.2609504,136568.275906,0.994400809484
1L1D_A,301,194,JTT-G,enzyme,-36460.7180122,74133.9150444,0.546554396717
1A8S_A,301,369,JTT-No,enzyme,-68460.4796697,138125.466142,NA
1CBG_A,301,1260,JTT-No,enzyme,-156265.422269,313730.74281,NA
1MQW_A,301,313,gcpREV-G,enzyme,-65365.3621267,131938.428394,0.806090532037
1YON_A,301,523,LG-No,enzyme,-111079.435905,223361.455322,NA
3CSM_A,301,813,LG-G,enzyme,-79052.0185007,159306.991383,0.977009145753
1TRK_B,301,1055,JTT-No,enzyme,-185357.638246,371915.544322,NA
1A8S_A,301,369,gcpREV-No,enzyme,-69217.3200095,139639.146822,NA
1QFM_A,301,1406,LG-G,enzyme,-212926.375405,427054.457368,0.8298782844
1GA8_A,131,500,LG-No,enzyme,-68488.7408404,137497.546059,NA
1DBT_A,301,314,LG-G,enzyme,-71533.5016483,144274.682745,0.68594478137
1GCB_A,301,783,JTT-No,enzyme,-159879.591603,320960.24085,NA
1S95_A,77,698,WAG-G,enzyme,-23919.8165134,48144.5009014,0.687503141948
1S3I_A,266,571,gcpREV-No,enzyme,-102369.002723,205799.710221,NA
1QJE_A,122,533,mtVer-No,enzyme,-53070.1305921,106624.061691,NA
1CTN_A,148,1485,WAG-G,enzyme,-96076.453745,192741.697795,1.20801209298
1CF2_O,301,475,WAG-G,enzyme,-92967.3647884,187139.795108,0.886374661905
1OS7_A,301,481,JC69-G,enzyme,-101313.735162,203832.472405,0.604189970695
1UQT_A,301,756,mtVer-No,enzyme,-167262.366254,335725.899641,NA
2JCW_A,301,301,JTT-G,enzyme,-35842.5025946,72893.0185225,0.636125447317
1OH9_A,301,409,JTT-G,enzyme,-87777.5076429,176760.902248,0.764904839942
1OH9_A,301,409,gcpREV-No,enzyme,-93591.6133514,188387.094027,NA
1A16_A,301,603,JTT-G,enzyme,-127626.638746,256457.26418,0.781257423575
1OS7_A,301,481,LG-G,enzyme,-92142.7111838,185490.424448,0.916878611086
1GPJ_A,301,659,mtVer-No,enzyme,-180097.922826,361397.480379,NA
1ZE1_A,301,532,JTT-No,enzyme,-130351.859771,261906.225222,NA
1L7N_A,201,265,JC69-G,enzyme,-46060.53434,92927.1370819,0.523635449848
1GPJ_A,301,659,WAG-G,enzyme,-151754.33057,304712.308021,0.902024502726
1J79_A,301,481,LG-G,enzyme,-85173.8130236,171552.628128,0.668655077411
1NU3_A,164,222,JC69-G,enzyme,-31902.1701785,64462.2493949,0.523882533026
2DOR_A,301,484,gcpREV-G,enzyme,-100055.029886,201315.03072,1.01306907639
1CTT_A,301,662,JTT-G,enzyme,-95608.835098,192421.300501,0.862828822689
1S95_A,77,698,JC69-G,enzyme,-26268.7384183,52842.344711,0.512969172654
1A16_A,301,603,JC69-No,enzyme,-153637.147209,308476.267818,NA
1E3V_A,216,220,JC69-G,enzyme,-36225.6488527,73319.1691829,0.239658325889
1REQ_A,301,992,JTT-G,enzyme,-138319.406597,277841.233402,0.456031079107
1L7N_A,201,265,WAG-G,enzyme,-41478.1652275,83762.3988569,0.878761130855
1OPM_A,128,810,WAG-G,enzyme,-52946.0124889,106401.27748,0.956074727973
206L_A,143,415,LG-G,enzyme,-30804.8433542,62180.4276498,0.915661371802
1CEL_A,301,904,JC69-No,enzyme,-165567.879983,332336.40744,NA
1FPS_A,301,930,mtVer-No,enzyme,-109707.110095,220614.793491,NA
1QJE_A,122,533,JTT-G,enzyme,-46112.1108258,92710.037128,0.928216692437
1NU3_A,164,222,JTT-G,enzyme,-28877.9796994,58413.8684368,1.27952000888
1TYF_A,301,253,gcpREV-No,enzyme,-47890.5878046,96988.6894603,NA
1CF2_O,301,475,mtVer-No,enzyme,-109185.37185,219573.79234,NA
1S3I_A,266,571,JC69-No,enzyme,-112592.675105,226247.054985,NA
1G6T_A,301,753,WAG-No,enzyme,-116383.934345,233969.048475,NA
1QFM_A,301,1406,mtVer-No,enzyme,-242080.473428,485360.647732,NA
1QFM_A,301,1406,JTT-No,enzyme,-225582.134222,452363.96932,NA
1JOF_A,88,714,mtVer-G,enzyme,-32133.0649801,64615.1019185,0.782225708576
1MBB_A,301,469,WAG-No,enzyme,-110221.431118,221645.975739,NA
1TRK_B,301,1055,JC69-No,enzyme,-207938.247037,417076.761903,NA
1GPJ_A,301,659,JC69-G,enzyme,-171221.263988,343646.174857,0.489192650976
1B73_A,301,423,JC69-No,enzyme,-110821.006393,222845.685,NA
1FPS_A,301,930,gcpREV-No,enzyme,-101905.142369,205010.858039,NA
1A8H_A,154,734,LG-G,enzyme,-79644.4578581,159902.582404,0.778249752323
1QI9_A,97,1462,JC69-No,enzyme,-83466.7745476,167316.066981,NA
1SMN_A,183,474,LG-G,enzyme,-62494.6749008,125720.426083,1.10792309999
1OH9_A,301,409,mtVer-No,enzyme,-102514.107657,206232.082637,NA
1G8F_A,301,1065,gcpREV-G,enzyme,-141642.670965,284487.595934,1.15253171883
1BJO_A,301,555,JC69-G,enzyme,-105094.743845,211393.820419,0.477400291937
1HV9_A,301,574,WAG-No,enzyme,-123831.669222,248865.51329,NA
1B73_A,301,423,JTT-G,enzyme,-91823.7086278,184853.108454,0.695106518411
1BJO_A,301,555,WAG-G,enzyme,-93172.7152756,187549.76328,0.750221216008
1DJ0_A,301,439,gcpREV-No,enzyme,-84444.6056537,170092.675846,NA
1GCB_A,301,783,JTT-G,enzyme,-150249.698395,301702.464655,0.842546000238
1YON_A,301,523,JTT-No,enzyme,-111131.083675,223464.75086,NA
1WGI_A,301,760,mtVer-No,enzyme,-85309.7805178,171820.711456,NA
1GTP_A,301,338,gcpREV-No,enzyme,-62369.0157554,125943.138632,NA
1H3I_A,39,647,LG-G,enzyme,-19264.3349452,38681.1351472,2.28710670041
1MBB_A,301,469,LG-G,enzyme,-103500.712675,208206.555962,0.778537177526
1A4L_A,301,888,JC69-G,enzyme,-124669.587267,250541.878828,0.637359224295
1MHY_D,33,632,JTT-G,enzyme,-20251.2771209,40630.9544149,1.18165873794
1A8H_A,154,734,LG-No,enzyme,-85378.9705559,171369.596927,NA
1BF2_A,301,1450,gcpREV-G,enzyme,-199835.043052,400871.740805,0.668350394689
3CSM_A,301,813,mtVer-No,enzyme,-90646.2086018,182493.361742,NA
1W0H_A,86,427,LG-G,enzyme,-28037.7634079,56417.1174699,0.922657252187
1UAQ_A,301,327,WAG-G,enzyme,-40582.0734384,82371.5191499,0.699661733927
1CTN_A,148,1485,LG-G,enzyme,-97071.854107,194732.498519,1.12588512177
1YCF_A,301,608,mtVer-G,enzyme,-138795.542789,278795.039375,0.737569927261
3PVA_A,301,565,gcpREV-No,enzyme,-133736.914091,268676.069766,NA
206L_A,143,415,JC69-G,enzyme,-33201.1437108,66973.0283631,0.95307576591
1TYF_A,301,253,LG-No,enzyme,-48400.8676612,98009.2491736,NA
1GDH_A,301,398,WAG-No,enzyme,-100235.304248,201674.638798,NA
1S3I_A,266,571,mtVer-No,enzyme,-112466.467409,225994.639593,NA
1NIR_A,157,755,JC69-No,enzyme,-86181.8971281,172987.435764,NA
1J79_A,301,481,WAG-No,enzyme,-92262.225772,185727.436944,NA
1S3I_A,266,571,JTT-No,enzyme,-101927.894684,204917.494143,NA
1EXP_A,158,502,LG-No,enzyme,-62955.7356168,126539.959323,NA
1A8H_A,154,734,WAG-G,enzyme,-78915.4016969,158444.470081,0.837946127801
1C82_A,79,1360,JTT-G,enzyme,-61289.243367,122890.943321,1.22141140026
2JCW_A,301,301,gcpREV-G,enzyme,-36168.9958231,73546.0049795,0.597338984957
1QRG_A,301,416,gcpREV-G,enzyme,-67024.2277664,135254.242958,1.067157812
1MHY_D,33,632,mtVer-No,enzyme,-22220.7638086,44567.9154586,NA
1GDH_A,301,398,gcpREV-G,enzyme,-96950.7586,195107.567688,0.973976786131
1JOF_A,88,714,LG-G,enzyme,-30170.875417,60690.7227924,0.976192751084
1BJO_A,301,555,LG-No,enzyme,-102728.529723,206659.37773,NA
1H3I_A,39,647,JC69-No,enzyme,-20231.4545188,40613.3621917,NA
1GA8_A,131,500,JC69-No,enzyme,-72734.8834767,145989.831331,NA
1EXP_A,158,502,WAG-G,enzyme,-59325.2036926,119280.911404,0.944742773121
1UQT_A,301,756,mtVer-G,enzyme,-148990.1276,299183.432923,0.587081326611
1TYF_A,301,253,WAG-G,enzyme,-42216.8618833,85643.26951,0.483671253969
1UAQ_A,301,327,LG-No,enzyme,-44700.1886779,90605.7250205,NA
1CTT_A,301,662,mtVer-G,enzyme,-100776.366747,202756.363799,0.860263978278
1EUU_A,203,2253,JTT-G,enzyme,-155963.480979,312735.678092,1.18369980519
1E6E_A,301,1077,JC69-No,enzyme,-166181.710682,333563.642782,NA
1REQ_A,301,992,JC69-No,enzyme,-184607.283063,370414.978272,NA
1B8F_A,301,648,LG-G,enzyme,-128159.463613,257522.636205,0.628092855011
13PK_A,301,768,mtVer-No,enzyme,-114617.917984,230436.953486,NA
1FR8_A,121,821,mtVer-G,enzyme,-36659.6308473,73800.4290003,0.675933708073
1K30_A,66,562,WAG-No,enzyme,-33802.4808782,67863.8691748,NA
1MQW_A,301,313,mtVer-G,enzyme,-69958.6651451,141125.034431,0.595076392729
1C2T_A,301,284,mtVer-No,enzyme,-71638.5365048,144483.541036,NA
1BF2_A,301,1450,JC69-No,enzyme,-238042.095751,477283.840694,NA
1G72_A,301,1165,JTT-G,enzyme,-156850.527408,314903.115011,0.853557260529
1G6T_A,301,753,LG-G,enzyme,-106568.744955,214340.680326,0.620777554452
1REQ_A,301,992,gcpREV-No,enzyme,-163227.169443,327654.751032,NA
1BJO_A,301,555,mtVer-No,enzyme,-112916.009218,227034.336721,NA
1BQC_A,75,696,WAG-No,enzyme,-33524.8285871,67344.4931076,NA
1IVH_A,301,650,JTT-No,enzyme,-91520.4077755,184242.50076,NA
1TYF_A,301,253,JC69-G,enzyme,-47116.2900452,95442.1258338,0.404224278586
1CZ1_A,301,858,JC69-G,enzyme,-163267.668366,327738.135802,0.574388011448
1GDH_A,301,398,gcpREV-No,enzyme,-102990.860874,207185.752051,NA
1GDH_A,301,398,mtVer-G,enzyme,-104137.635644,209481.321775,0.729267316497
1GP1_A,301,411,LG-G,enzyme,-51472.5937157,104151.045607,0.990312711671
1IVH_A,301,650,gcpREV-No,enzyme,-91835.6937554,184873.07272,NA
1A50_B,301,564,JTT-No,enzyme,-102492.045602,206186.340334,NA
1H3I_A,39,647,JTT-No,enzyme,-19597.3461136,39345.1453813,NA
1GPJ_A,301,659,LG-No,enzyme,-163265.297992,327732.230711,NA
1OS7_A,301,481,gcpREV-No,enzyme,-98750.9638097,198704.91302,NA
1J79_A,301,481,JTT-G,enzyme,-85344.6881536,171894.378388,0.672164611255
1NU3_A,164,222,mtVer-G,enzyme,-31111.35287,62880.6147779,0.745285714613
1CF2_O,301,475,LG-G,enzyme,-95093.6362208,191392.337973,0.866992174028
1MHY_D,33,632,LG-G,enzyme,-20137.2372374,40402.8746479,1.18063846699
1YVE_I,145,1452,gcpREV-G,enzyme,-63702.6267935,127982.045326,0.612990103195
1REQ_A,301,992,JC69-G,enzyme,-154642.878007,310488.176221,0.38759995872
1C2T_A,301,284,LG-G,enzyme,-58867.28922,118943.074841,0.645006598393
1G79_A,301,319,gcpREV-G,enzyme,-58538.0858028,118283.729928,0.715470321913
1A8H_A,154,734,gcpREV-No,enzyme,-86277.7981328,173167.25208,NA
1B8F_A,301,648,JTT-G,enzyme,-128115.235364,257434.179708,0.612945463078
1OPM_A,128,810,LG-No,enzyme,-56522.3909111,113552.024489,NA
1GA8_A,131,500,WAG-No,enzyme,-67967.5276152,136455.119608,NA
1C82_A,79,1360,LG-G,enzyme,-61342.2620161,122996.980619,1.24423222575
1TLP_E,34,493,JTT-G,enzyme,-14401.2353621,28935.0004636,0.918497465562
7ATJ_A,301,477,mtVer-No,enzyme,-105512.55447,212228.136321,NA
1BJO_A,301,555,gcpREV-No,enzyme,-103307.123404,207816.565092,NA
1L7N_A,201,265,LG-No,enzyme,-45069.9909473,90944.0199161,NA
1CTN_A,148,1485,LG-No,enzyme,-101007.322737,202601.430417,NA
1CF2_O,301,475,LG-No,enzyme,-101075.511253,203354.071145,NA
1S95_A,77,698,LG-No,enzyme,-25410.9098579,51124.6762297,NA
1OH9_A,301,409,JC69-No,enzyme,-106064.854782,213333.576888,NA
1DJ0_A,301,439,JC69-No,enzyme,-92077.2029571,185357.870453,NA
1W0H_A,86,427,mtVer-No,enzyme,-32293.4258559,64926.4237188,NA
1GA8_A,131,500,WAG-G,enzyme,-65650.4411773,131822.962705,1.34113899189
1B8F_A,301,648,gcpREV-G,enzyme,-128316.167476,257836.043932,0.561065917911
1G6T_A,301,753,JTT-G,enzyme,-106070.025062,213343.24054,0.596495289361
1EXP_A,158,502,gcpREV-No,enzyme,-63919.3254653,128467.139019,NA
1K30_A,66,562,LG-G,enzyme,-32715.190751,65691.3030138,0.936415115236
1HR6_B,301,890,gcpREV-No,enzyme,-126870.039561,254940.768337,NA
1A50_B,301,564,mtVer-G,enzyme,-97062.1306724,195328.524688,0.525815328474
1TRK_B,301,1055,mtVer-No,enzyme,-200023.757703,401247.783236,NA
1C0K_A,301,1096,JC69-G,enzyme,-152555.463709,306313.117552,0.637396646795
2DOR_A,301,484,mtVer-G,enzyme,-106244.245559,213693.462065,0.710659379557
1MBB_A,301,469,gcpREV-No,enzyme,-112108.494262,225420.102027,NA
1E3V_A,216,220,JTT-G,enzyme,-32170.5748076,65209.0210926,1.402543517
1GDH_A,301,398,JTT-No,enzyme,-101770.436923,204744.904149,NA
1S3I_A,266,571,WAG-No,enzyme,-99964.0899552,200989.884686,NA
1J79_A,301,481,JTT-No,enzyme,-93637.6892665,188478.363933,NA
3ECA_A,301,471,LG-No,enzyme,-111289.016776,223781.125248,NA
1GP1_A,301,411,LG-No,enzyme,-54390.738505,109985.315643,NA
1W0H_A,86,427,gcpREV-No,enzyme,-29855.6732555,60050.9185181,NA
7ATJ_A,301,477,LG-No,enzyme,-99291.1899217,199785.407225,NA
1EUU_A,203,2253,gcpREV-G,enzyme,-157216.613867,315241.943868,1.11920584982
1JOF_A,88,714,JTT-G,enzyme,-30198.5007266,60745.9734117,0.975978957839
1HV9_A,301,574,LG-No,enzyme,-126311.199285,253824.573417,NA
1SML_A,301,472,LG-G,enzyme,-109516.941087,220238.980039,1.36262084465
1YON_A,301,523,WAG-No,enzyme,-110005.059917,221212.703346,NA
1HV9_A,301,574,JTT-No,enzyme,-125783.04557,252768.265987,NA
1LJL_A,301,182,gcpREV-G,enzyme,-34822.5320716,70858.3750824,0.66513514854
1A8H_A,154,734,gcpREV-G,enzyme,-79988.5837133,160590.834114,0.70974085037
1E7Q_A,301,505,JTT-G,enzyme,-80020.7885144,161246.340443,0.598233780925
1A50_B,301,564,WAG-G,enzyme,-90799.329912,182802.923168,0.601071367198
1TYF_A,301,253,mtVer-No,enzyme,-51297.9091838,103803.332219,NA
1BF2_A,301,1450,WAG-G,enzyme,-196449.954964,394101.564629,0.758530028512
1CZ1_A,301,858,mtVer-No,enzyme,-168983.588089,339167.965922,NA
1EG7_A,301,740,LG-G,enzyme,-128595.246954,258393.740523,0.645948116961
1G6T_A,301,753,gcpREV-G,enzyme,-105879.194769,212961.579954,0.611746068751
1B93_A,301,210,WAG-G,enzyme,-41466.3657361,84144.2505829,0.74278979307
1E6E_A,301,1077,JTT-G,enzyme,-139755.642638,280713.514119,0.891913383791
1MBB_A,301,469,JTT-No,enzyme,-111728.399737,224659.912977,NA
1L1D_A,301,194,mtVer-No,enzyme,-45358.3340328,91927.1053428,NA
1QFM_A,301,1406,WAG-No,enzyme,-222166.503079,445532.707033,NA
1S95_A,77,698,LG-G,enzyme,-24037.7817387,48380.4313519,0.659456384828
1G6T_A,301,753,JTT-No,enzyme,-118620.636667,238442.453119,NA
1BZC_A,83,698,mtVer-G,enzyme,-27392.1138799,55113.1645944,0.866458592208
1NBA_A,301,336,JC69-G,enzyme,-83842.0786096,168891.33084,0.52834415426
1YCF_A,301,608,gcpREV-G,enzyme,-131416.013407,264035.980609,1.00878030448
1HR6_B,301,890,JTT-G,enzyme,-118993.583347,239189.864896,0.945409665948
1SML_A,301,472,JC69-No,enzyme,-125359.978281,251923.037427,NA
1OAC_A,301,1304,JC69-No,enzyme,-247026.831509,495253.49714,NA
1J79_A,301,481,mtVer-G,enzyme,-92821.1397089,186847.281498,0.500923107119
1CEL_A,301,904,JC69-G,enzyme,-154644.621956,310491.900236,0.534978142257
1E2A_A,301,155,mtVer-No,enzyme,-42362.3320778,85938.2715814,NA
3PVA_A,301,565,mtVer-No,enzyme,-142742.664884,286687.571351,NA
2JCW_A,301,301,JC69-G,enzyme,-39299.5339077,79807.0811488,0.516094847772
1H3I_A,39,647,LG-No,enzyme,-19474.3466567,39099.1464677,NA
1NBA_A,301,336,JC69-No,enzyme,-88571.0317724,178347.213223,NA
1GTP_A,301,338,JTT-G,enzyme,-56694.5100803,114596.151082,0.686787819538
1OAC_A,301,1304,LG-No,enzyme,-223762.887063,448725.608248,NA
1S3I_A,266,571,JTT-G,enzyme,-95606.6205027,192276.959812,0.961857717165
1YVE_I,145,1452,mtVer-G,enzyme,-67268.744001,135114.279741,0.59757030607
1SML_A,301,472,WAG-G,enzyme,-108398.464447,218002.026758,1.30183401713
1CTT_A,301,662,gcpREV-No,enzyme,-102545.135522,206291.889249,NA
1E2A_A,301,155,JTT-G,enzyme,-36573.8340081,74363.3278938,0.839330667292
1ZE1_A,301,532,WAG-No,enzyme,-127620.277222,256443.060124,NA
1CF2_O,301,475,mtVer-G,enzyme,-99673.8002019,200552.665935,0.73237234094
1MBB_A,301,469,gcpREV-G,enzyme,-103130.135787,207465.402187,0.672754164162
1QRG_A,301,416,WAG-G,enzyme,-66428.265383,134062.318191,1.32894524409
1OS7_A,301,481,LG-No,enzyme,-97337.1451838,195877.275768,NA
3CSM_A,301,813,WAG-G,enzyme,-78219.0367125,157641.027807,0.973152397577
1W0H_A,86,427,JTT-G,enzyme,-28145.1659222,56631.9224986,1.0199173921
1UAQ_A,301,327,JC69-G,enzyme,-45262.4920059,91732.3562851,0.279062049314
1S95_A,77,698,mtVer-G,enzyme,-25564.2179496,51433.3037737,0.686646954178
1POW_A,301,840,JTT-G,enzyme,-185429.61077,372062.080733,1.01053673934
1TAH_B,301,627,mtVer-No,enzyme,-109538.802592,220279.426008,NA
1B8F_A,301,648,mtVer-G,enzyme,-136423.900759,274051.510497,0.556045189446
1TAH_B,301,627,LG-No,enzyme,-102629.162815,206460.146453,NA
1GCB_A,301,783,WAG-No,enzyme,-157009.819547,315220.696737,NA
1YON_A,301,523,gcpREV-G,enzyme,-104601.95974,210408.518324,0.880162423609
1SMN_A,183,474,mtVer-No,enzyme,-70786.6595487,142302.378488,NA
1TRK_B,301,1055,WAG-No,enzyme,-181226.954572,363654.176973,NA
1POW_A,301,840,LG-G,enzyme,-185388.728041,371980.315275,1.08728482861
1HR6_B,301,890,mtVer-G,enzyme,-125131.687233,251466.07267,0.863513621338
1TAH_B,301,627,JC69-G,enzyme,-107468.834522,216141.502644,0.545084712513
1QI9_A,97,1462,JC69-G,enzyme,-80336.7419021,161058.007116,0.823854611654
1G79_A,301,319,JC69-No,enzyme,-70495.4230266,142196.379144,NA
3ECA_A,301,471,mtVer-G,enzyme,-108617.350817,218439.810369,0.684085088526
3CSM_A,301,813,LG-No,enzyme,-84112.9065868,169426.757712,NA
1DBT_A,301,314,JC69-No,enzyme,-88725.9822304,178657.618272,NA
1QRG_A,301,416,LG-No,enzyme,-70676.9536899,142557.6755,NA
3ECA_A,301,471,JC69-G,enzyme,-115752.938413,232710.985561,0.482029080753
1E3V_A,216,220,gcpREV-G,enzyme,-32634.1748829,66136.2212432,1.32545530817
1GP1_A,301,411,JC69-No,enzyme,-60934.3020123,123072.442658,NA
1OS7_A,301,481,WAG-G,enzyme,-91272.295505,183749.593091,0.948156072369
1W0H_A,86,427,mtVer-G,enzyme,-29565.5723946,59472.7354434,0.693774643386
1A4L_A,301,888,LG-G,enzyme,-113000.20657,227203.117435,0.734628053193
1TAH_B,301,627,WAG-G,enzyme,-96318.9082048,193841.65001,1.04081999767
1H3I_A,39,647,WAG-G,enzyme,-19172.5607224,38497.5867016,2.75430981413
1HV9_A,301,574,mtVer-G,enzyme,-122039.78528,245283.759371,0.569501650767
1A8S_A,301,369,gcpREV-G,enzyme,-63891.9823392,128990.493266,0.72995683784
1MBB_A,301,469,JC69-No,enzyme,-124192.738108,249588.589718,NA
1CF2_O,301,475,JC69-G,enzyme,-105293.256006,211791.577544,0.518211565616
1GA8_A,131,500,JTT-No,enzyme,-68826.5353785,138173.135135,NA
1C0K_A,301,1096,mtVer-G,enzyme,-148542.192464,298286.575061,0.779693451902
1OH9_A,301,409,JC69-G,enzyme,-98152.0717859,197510.030534,0.474631016885
1GPJ_A,301,659,gcpREV-No,enzyme,-164180.777936,329563.1906,NA
1CZ1_A,301,858,LG-G,enzyme,-149597.124536,300397.048142,0.929936138837
1C0K_A,301,1096,JTT-G,enzyme,-139852.33193,280906.853994,1.07939132534
1C82_A,79,1360,JC69-No,enzyme,-70205.7526016,140721.955969,NA
1SML_A,301,472,LG-No,enzyme,-114361.048119,229925.177102,NA
1L7N_A,201,265,mtVer-No,enzyme,-49854.3312221,100512.700466,NA
1B8F_A,301,648,JC69-G,enzyme,-142585.634847,286374.978674,0.468598902497
1QFM_A,301,1406,JTT-G,enzyme,-212158.25038,425518.207319,0.821042312621
1IVH_A,301,650,mtVer-G,enzyme,-87369.2216725,175942.140877,0.513580138767
1GTP_A,301,338,JC69-G,enzyme,-63391.4769329,127990.084787,0.429999100779
1FR8_A,121,821,JTT-G,enzyme,-34976.6459348,70434.4591755,0.72776695726
1CZ1_A,301,858,JTT-G,enzyme,-150082.593694,301367.986459,0.893887504733
3ECA_A,301,471,gcpREV-No,enzyme,-111303.86222,223810.816137,NA
1OAC_A,301,1304,WAG-G,enzyme,-210333.638542,421869.117334,1.25502547845
1A50_B,301,564,WAG-No,enzyme,-100672.112336,202546.473803,NA
1SML_A,301,472,gcpREV-No,enzyme,-116788.360556,234779.801976,NA
1H3I_A,39,647,WAG-No,enzyme,-19341.9054737,38834.2641017,NA
1C0K_A,301,1096,LG-G,enzyme,-140503.913968,282210.018068,1.13824113445
1OS7_A,301,481,gcpREV-G,enzyme,-93084.2117805,187373.425642,0.820888167269
1B93_A,301,210,LG-No,enzyme,-46381.3104279,93972.1014499,NA
1IVH_A,301,650,WAG-No,enzyme,-90690.3297812,182582.344771,NA
1GP1_A,301,411,mtVer-No,enzyme,-59338.464869,119880.768371,NA
1BQC_A,75,696,JTT-No,enzyme,-33950.818381,68196.4726953,NA
1BF2_A,301,1450,LG-No,enzyme,-216065.054753,433329.758698,NA
1ZE1_A,301,532,gcpREV-G,enzyme,-120318.473849,241841.468449,0.735001685442
1DPG_A,301,674,JTT-G,enzyme,-140803.788619,282811.142717,0.869598085437
1K30_A,66,562,JTT-No,enzyme,-34093.722036,68446.3514905,NA
1A50_B,301,564,LG-No,enzyme,-102008.912585,205220.074301,NA
1EXP_A,158,502,gcpREV-G,enzyme,-60235.5157569,121101.535533,0.897896931538
3PVA_A,301,565,mtVer-G,enzyme,-132321.701188,265847.658148,0.81454325471
1A8H_A,154,734,JC69-No,enzyme,-95120.513954,190852.683723,NA
1G6T_A,301,753,gcpREV-No,enzyme,-118548.694638,238298.569062,NA
1CBG_A,301,1260,gcpREV-G,enzyme,-145363.018518,291927.941651,0.701886296272
1H3I_A,39,647,gcpREV-G,enzyme,-19298.580869,38749.6269949,2.53839387671
1BQC_A,75,696,LG-G,enzyme,-32598.1908597,65493.2290423,0.920338458946
7ATJ_A,301,477,WAG-G,enzyme,-91272.4734074,183749.991018,0.887431392602
1DEK_A,35,420,gcpREV-G,enzyme,-15070.5044784,30277.6503347,0.794373113162
3ECA_A,301,471,WAG-G,enzyme,-102697.059843,206599.228419,0.88781752877
2JCW_A,301,301,mtVer-G,enzyme,-37672.6220596,76553.2574525,0.440064854022
1GP1_A,301,411,WAG-G,enzyme,-50958.2793696,103122.416915,1.10147819536
1A8H_A,154,734,JC69-G,enzyme,-88655.4918153,177924.650318,0.51619112588
1E6E_A,301,1077,mtVer-No,enzyme,-163377.449385,327955.120188,NA
1QFM_A,301,1406,JC69-No,enzyme,-249581.317199,500362.335273,NA
1DPG_A,301,674,mtVer-G,enzyme,-148101.28186,297406.129198,0.747338407902
1POW_A,301,840,mtVer-G,enzyme,-196819.865556,394842.590305,0.794077722518
1HV9_A,301,574,WAG-G,enzyme,-113372.975611,227950.140031,0.663313789355
1E3V_A,216,220,gcpREV-No,enzyme,-34128.6681896,69123.1711636,NA
1C2T_A,301,284,JTT-G,enzyme,-58771.5630286,118751.622458,0.653065215485
1A8S_A,301,369,LG-G,enzyme,-63753.356083,128713.240753,0.746714193578
1OAC_A,301,1304,mtVer-No,enzyme,-241131.543297,483462.920717,NA
